id,name,dob,email,phone,college id,dept id,design
901,Titus,1965-07-19,jdhedden@gmail.com,9828545466,71,122,101
902,Jacinto,1974-10-16,grady@att.net,9077650668,71,121,102
903,Tessie,1990-05-20,pspoole@optonline.net,9785200676,71,122,102
904,Kathi,1990-10-25,sherzodr@gmail.com,9952709667,71,121,103
905,Birdie,1980-02-17,nighthawk@mac.com,9307000925,71,122,103
906,Nguyet,1984-04-20,violinhi@sbcglobal.net,9214482224,72,124,101
907,Perla,1974-08-02,qrczak@live.com,9215836145,72,123,102
908,Abram,1965-08-15,matloff@comcast.net,9318945556,72,124,102
909,Virgina,1967-10-28,symbolic@sbcglobal.net,9885831752,72,123,103
910,Shameka,1967-11-19,jdhedden@yahoo.ca,9819640642,72,124,103
911,Lauri,1969-12-08,budinger@yahoo.ca,9539264913,73,222,101
913,Gay,1988-04-12,barlow@sbcglobal.net,9855351278,73,222,102
914,Margie,1981-01-30,tlinden@live.com,9894886379,73,221,103
915,Kaycee,1976-06-24,skythe@outlook.com,9117116870,73,222,103
916,Esperanza,1977-02-19,danny@live.com,9198486930,74,224,101
917,Kera,1968-08-02,trieuvan@me.com,9965138114,74,223,102
919,Don,1986-10-08,kosact@verizon.net,9648995896,74,223,103
920,Harly,1986-01-25,makarow@live.com,9183593329,74,224,103
921,Evelyn,1967-02-27,kjohnson@icloud.com,9654845121,71,121,103
922,Adell,1967-11-16,cmdrgravy@sbcglobal.net,9587116654,71,122,103
923,Edwina,1972-06-10,howler@yahoo.ca,9658412068,72,123,103
924,Davina,1977-01-13,rsteiner@icloud.com,9040031254,72,124,103
925,Raymonde,1965-01-24,breegster@mac.com,9045216308,73,221,103
926,Judi,1985-05-23,fudrucker@hotmail.com,9651799980,73,222,103
927,Houston,1979-03-05,caidaperl@gmail.com,9045179333,74,223,103
928,Caren,1983-05-12,uqmcolyv@icloud.com,9051652561,74,224,103
